,type,subject,session,experimentor,segment,kernel_value
0,controls,0,1,aynaz,0,0.02158835646258444
1,controls,0,1,aynaz,1,0.17046864635815637
2,controls,0,1,aynaz,2,-0.3816052346265577
3,controls,0,1,aynaz,3,-0.5439585543428483
4,controls,0,1,aynaz,4,0.36707315283671765
5,controls,0,1,aynaz,5,2.522497867055305
6,controls,0,1,aynaz,6,-0.1766995492491662
7,controls,1,1,aynaz,0,0.7389727897436488
8,controls,1,1,aynaz,1,-0.030285332083586844
9,controls,1,1,aynaz,2,-0.006744687074792729
10,controls,1,1,aynaz,3,-0.6652874903794198
11,controls,1,1,aynaz,4,1.2314414983152133
12,controls,1,1,aynaz,5,2.000412442339146
13,controls,1,1,aynaz,6,0.7016059975384386
14,controls,2,1,aynaz,0,-0.696133060353448
15,controls,2,1,aynaz,1,-0.051624419472822196
16,controls,2,1,aynaz,2,0.7972702401379407
17,controls,2,1,aynaz,3,-0.6416038856016953
18,controls,2,1,aynaz,4,0.7297230135770169
19,controls,2,1,aynaz,5,2.2090572167371345
20,controls,2,1,aynaz,6,0.2302364793118014
21,controls,3,1,aynaz,0,0.6311959234229492
22,controls,3,1,aynaz,1,1.1664141218917088
23,controls,3,1,aynaz,2,0.8510099959979069
24,controls,3,1,aynaz,3,1.0595247159716426
25,controls,3,1,aynaz,4,1.4353371160349735
26,controls,3,1,aynaz,5,1.1297384423208099
27,controls,3,1,aynaz,6,0.240328068975834
28,controls,4,1,aynaz,0,0.282835964780659
29,controls,4,1,aynaz,1,0.15628903058890528
30,controls,4,1,aynaz,2,-0.26128576542785004
31,controls,4,1,aynaz,3,-0.3778768126119268
32,controls,4,1,aynaz,4,0.39228296642454
33,controls,4,1,aynaz,5,2.550502467992661
34,controls,4,1,aynaz,6,0.15989888753745876
35,controls,5,1,aynaz,0,-0.10008018004080663
36,controls,5,1,aynaz,1,-0.42046413005715566
37,controls,5,1,aynaz,2,-0.42408908215814556
38,controls,5,1,aynaz,3,-0.6758909996210127
39,controls,5,1,aynaz,4,0.9072054629632261
40,controls,5,1,aynaz,5,2.304103381613393
41,controls,5,1,aynaz,6,0.21118601926087735
