,criteria,internal_noise_sigma,prob_interval1,prob_agreement
0,-5.0,0.0,0.99984,1.0
1,-5.0,0.05,0.99987,0.99998
2,-5.0,0.1,0.99979,0.9999
3,-5.0,0.15,0.99974,0.9998
4,-5.0,0.2,0.99961,0.99974
5,-5.0,0.25,0.99963,0.99966
6,-5.0,0.3,0.99968,0.99944
7,-5.0,0.35,0.99953,0.99938
8,-5.0,0.4,0.99941,0.99918
9,-5.0,0.45,0.9994000000000001,0.99912
10,-5.0,0.5,0.99942,0.99904
11,-5.0,0.55,0.99908,0.99848
12,-5.0,0.6,0.9986299999999999,0.9979
13,-5.0,0.65,0.9986200000000001,0.99756
14,-5.0,0.7,0.9979499999999999,0.99646
15,-5.0,0.75,0.9978400000000001,0.99628
16,-5.0,0.8,0.99705,0.9947
17,-5.0,0.85,0.9964,0.99364
18,-5.0,0.9,0.9959,0.99268
19,-5.0,0.95,0.9950300000000001,0.9911
20,-5.0,1.0,0.99378,0.98864
21,-5.0,1.05,0.99261,0.98674
22,-5.0,1.1,0.99157,0.98462
23,-5.0,1.15,0.9899100000000001,0.98194
24,-5.0,1.2,0.98814,0.97904
25,-5.0,1.25,0.9857400000000001,0.97416
26,-5.0,1.3,0.9850099999999999,0.97298
27,-5.0,1.35,0.9819599999999999,0.96716
28,-5.0,1.4,0.97924,0.96212
29,-5.0,1.45,0.97768,0.95912
30,-5.0,1.5,0.97476,0.9544
31,-5.0,1.55,0.97185,0.94946
32,-5.0,1.6,0.9698,0.94564
33,-5.0,1.65,0.9671700000000001,0.93998
34,-5.0,1.7,0.96363,0.93466
35,-5.0,1.75,0.95974,0.92748
36,-5.0,1.8,0.9561900000000001,0.92218
37,-5.0,1.85,0.9530799999999999,0.91552
38,-5.0,1.9,0.9504900000000001,0.9113
39,-5.0,1.95,0.94591,0.90422
40,-5.0,2.0,0.94237,0.89726
41,-5.0,2.05,0.9395899999999999,0.89346
42,-5.0,2.1,0.93675,0.8887
43,-5.0,2.15,0.9317500000000001,0.88142
44,-5.0,2.2,0.92791,0.8743
45,-5.0,2.25,0.92465,0.8687
46,-5.0,2.3,0.91882,0.85968
47,-5.0,2.35,0.91672,0.85556
48,-5.0,2.4,0.91342,0.84968
49,-5.0,2.45,0.90857,0.84166
50,-5.0,2.5,0.90584,0.83892
51,-5.0,2.55,0.90269,0.83478
52,-5.0,2.6,0.89871,0.8265
53,-5.0,2.65,0.89262,0.81648
54,-5.0,2.7,0.89097,0.81494
55,-5.0,2.75,0.88783,0.8117
56,-5.0,2.8,0.88453,0.80562
57,-5.0,2.85,0.87868,0.79608
58,-5.0,2.9,0.87445,0.79038
59,-5.0,2.95,0.8724000000000001,0.78724
60,-5.0,3.0,0.86964,0.78316
61,-5.0,3.05,0.86537,0.77574
62,-5.0,3.1,0.86048,0.76596
63,-5.0,3.15,0.8588100000000001,0.76738
64,-5.0,3.2,0.8514900000000001,0.75886
65,-5.0,3.25,0.8497300000000001,0.75594
66,-5.0,3.3,0.8482799999999999,0.75348
67,-5.0,3.35,0.84447,0.74682
68,-5.0,3.4,0.8404100000000001,0.74294
69,-5.0,3.45,0.83589,0.73702
70,-5.0,3.5,0.833,0.73084
71,-5.0,3.55,0.83235,0.73182
72,-5.0,3.6,0.8280099999999999,0.72362
73,-5.0,3.65,0.8227,0.71952
74,-5.0,3.7,0.82254,0.71792
75,-5.0,3.75,0.81704,0.70652
76,-5.0,3.8,0.81403,0.70638
77,-5.0,3.85,0.81181,0.70178
78,-5.0,3.9,0.80996,0.70112
79,-5.0,3.95,0.8052999999999999,0.69832
80,-5.0,4.0,0.80476,0.694
81,-5.0,4.05,0.80269,0.6897
82,-5.0,4.1,0.79899,0.68706
83,-5.0,4.15,0.7976300000000001,0.68498
84,-5.0,4.2,0.79487,0.68374
85,-5.0,4.25,0.7923100000000001,0.68026
86,-5.0,4.3,0.78604,0.67284
87,-5.0,4.35,0.78969,0.67486
88,-5.0,4.4,0.7827999999999999,0.67124
89,-5.0,4.45,0.7822,0.66736
90,-5.0,4.5,0.77963,0.6635
91,-5.0,4.55,0.7770699999999999,0.6635
92,-5.0,4.6,0.77162,0.65724
93,-5.0,4.65,0.77012,0.65512
94,-5.0,4.7,0.77363,0.65658
95,-5.0,4.75,0.7651399999999999,0.6466
96,-5.0,4.8,0.76476,0.6498
97,-5.0,4.85,0.76291,0.64602
98,-5.0,4.9,0.7581100000000001,0.64098
99,-5.0,4.95,0.76,0.64248
100,-5.0,5.0,0.75637,0.63798
101,-4.95,0.0,0.99964,1.0
102,-4.95,0.05,0.99983,0.99994
103,-4.95,0.1,0.9997199999999999,0.99996
104,-4.95,0.15,0.99973,0.99986
105,-4.95,0.2,0.9996,0.99964
106,-4.95,0.25,0.99956,0.99956
107,-4.95,0.3,0.99956,0.99944
108,-4.95,0.35,0.9995700000000001,0.9993
109,-4.95,0.4,0.99931,0.99906
110,-4.95,0.45,0.9993099999999999,0.99898
111,-4.95,0.5,0.9991699999999999,0.9989
112,-4.95,0.55,0.9989699999999999,0.99842
113,-4.95,0.6,0.99879,0.9979
114,-4.95,0.65,0.99832,0.9972
115,-4.95,0.7,0.99808,0.99668
116,-4.95,0.75,0.99742,0.99552
117,-4.95,0.8,0.99654,0.99396
118,-4.95,0.85,0.99638,0.9938
119,-4.95,0.9,0.9955499999999999,0.9921
120,-4.95,0.95,0.99455,0.99038
121,-4.95,1.0,0.99324,0.98756
122,-4.95,1.05,0.9926299999999999,0.98706
123,-4.95,1.1,0.9907699999999999,0.98346
124,-4.95,1.15,0.9891099999999999,0.9805
125,-4.95,1.2,0.98783,0.97842
126,-4.95,1.25,0.98569,0.9743
127,-4.95,1.3,0.98363,0.97042
128,-4.95,1.35,0.98066,0.96492
129,-4.95,1.4,0.97916,0.96264
130,-4.95,1.45,0.9766300000000001,0.95826
131,-4.95,1.5,0.97406,0.9536
132,-4.95,1.55,0.97168,0.94844
133,-4.95,1.6,0.96858,0.94312
134,-4.95,1.65,0.9662200000000001,0.93832
135,-4.95,1.7,0.96208,0.9326
136,-4.95,1.75,0.95892,0.927
137,-4.95,1.8,0.95514,0.91952
138,-4.95,1.85,0.95223,0.91426
139,-4.95,1.9,0.94838,0.90848
140,-4.95,1.95,0.94527,0.90278
141,-4.95,2.0,0.94119,0.89574
142,-4.95,2.05,0.93814,0.89152
143,-4.95,2.1,0.93421,0.88522
144,-4.95,2.15,0.9293199999999999,0.87684
145,-4.95,2.2,0.92584,0.87056
146,-4.95,2.25,0.92162,0.86428
147,-4.95,2.3,0.91892,0.85916
