subj,session,trial,block,sex,age,date,stim,stim_order,filter,filter_freq,filter_gain,response,rt
1,1,0,0,f/m,20,2022-05-09 15:54:29.177314,practice/male_vraiment_flat_0.wav,0,0,0.000000,9.896041,False,2.32
1,1,0,0,f/m,20,2022-05-09 15:54:29.177314,practice/male_vraiment_flat_0.wav,0,1,0.071043,101.528400,False,2.32
1,1,0,0,f/m,20,2022-05-09 15:54:29.177314,practice/male_vraiment_flat_0.wav,0,2,0.142086,-68.097850,False,2.32
1,1,0,0,f/m,20,2022-05-09 15:54:29.177314,practice/male_vraiment_flat_0.wav,0,3,0.213129,-142.658303,False,2.32
1,1,0,0,f/m,20,2022-05-09 15:54:29.177314,practice/male_vraiment_flat_0.wav,0,4,0.284172,-120.248224,False,2.32
1,1,0,0,f/m,20,2022-05-09 15:54:29.177314,practice/male_vraiment_flat_0.wav,0,5,0.355215,31.293845,False,2.32
1,1,0,0,f/m,20,2022-05-09 15:54:29.177314,practice/male_vraiment_flat_0.wav,0,6,0.426259,-137.250528,False,2.32
1,1,0,0,f/m,20,2022-05-09 15:54:29.177314,practice/male_vraiment_flat_1.wav,1,0,0.000000,-87.527114,True,2.32
1,1,0,0,f/m,20,2022-05-09 15:54:29.177314,practice/male_vraiment_flat_1.wav,1,1,0.071043,-24.885537,True,2.32
1,1,0,0,f/m,20,2022-05-09 15:54:29.177314,practice/male_vraiment_flat_1.wav,1,2,0.142086,25.492299,True,2.32
1,1,0,0,f/m,20,2022-05-09 15:54:29.177314,practice/male_vraiment_flat_1.wav,1,3,0.213129,-85.109295,True,2.32
1,1,0,0,f/m,20,2022-05-09 15:54:29.177314,practice/male_vraiment_flat_1.wav,1,4,0.284172,41.982644,True,2.32
1,1,0,0,f/m,20,2022-05-09 15:54:29.177314,practice/male_vraiment_flat_1.wav,1,5,0.355215,-147.448489,True,2.32
1,1,0,0,f/m,20,2022-05-09 15:54:29.177314,practice/male_vraiment_flat_1.wav,1,6,0.426259,3.412386,True,2.32
1,1,1,0,f/m,20,2022-05-09 15:54:29.177314,practice/male_vraiment_flat_0.wav,0,0,0.000000,9.896041,True,1.16
1,1,1,0,f/m,20,2022-05-09 15:54:29.177314,practice/male_vraiment_flat_0.wav,0,1,0.071043,101.528400,True,1.16
1,1,1,0,f/m,20,2022-05-09 15:54:29.177314,practice/male_vraiment_flat_0.wav,0,2,0.142086,-68.097850,True,1.16
1,1,1,0,f/m,20,2022-05-09 15:54:29.177314,practice/male_vraiment_flat_0.wav,0,3,0.213129,-142.658303,True,1.16
1,1,1,0,f/m,20,2022-05-09 15:54:29.177314,practice/male_vraiment_flat_0.wav,0,4,0.284172,-120.248224,True,1.16
1,1,1,0,f/m,20,2022-05-09 15:54:29.177314,practice/male_vraiment_flat_0.wav,0,5,0.355215,31.293845,True,1.16
1,1,1,0,f/m,20,2022-05-09 15:54:29.177314,practice/male_vraiment_flat_0.wav,0,6,0.426259,-137.250528,True,1.16
1,1,1,0,f/m,20,2022-05-09 15:54:29.177314,practice/male_vraiment_flat_2.wav,1,0,0.000000,-26.280713,False,1.16
1,1,1,0,f/m,20,2022-05-09 15:54:29.177314,practice/male_vraiment_flat_2.wav,1,1,0.071043,83.932106,False,1.16
1,1,1,0,f/m,20,2022-05-09 15:54:29.177314,practice/male_vraiment_flat_2.wav,1,2,0.142086,59.369452,False,1.16
1,1,1,0,f/m,20,2022-05-09 15:54:29.177314,practice/male_vraiment_flat_2.wav,1,3,0.213129,8.881156,False,1.16
1,1,1,0,f/m,20,2022-05-09 15:54:29.177314,practice/male_vraiment_flat_2.wav,1,4,0.284172,3.498385,False,1.16
