StimA,StimB
male_vraiment_flat_0.wav,male_vraiment_flat_189.wav
male_vraiment_flat_1.wav,male_vraiment_flat_19.wav
male_vraiment_flat_10.wav,male_vraiment_flat_190.wav
male_vraiment_flat_100.wav,male_vraiment_flat_191.wav
male_vraiment_flat_101.wav,male_vraiment_flat_192.wav
male_vraiment_flat_102.wav,male_vraiment_flat_193.wav
male_vraiment_flat_103.wav,male_vraiment_flat_194.wav
male_vraiment_flat_104.wav,male_vraiment_flat_195.wav
male_vraiment_flat_105.wav,male_vraiment_flat_196.wav
male_vraiment_flat_106.wav,male_vraiment_flat_197.wav
male_vraiment_flat_107.wav,male_vraiment_flat_198.wav
male_vraiment_flat_108.wav,male_vraiment_flat_199.wav
male_vraiment_flat_109.wav,male_vraiment_flat_2.wav
male_vraiment_flat_11.wav,male_vraiment_flat_20.wav
male_vraiment_flat_110.wav,male_vraiment_flat_21.wav
male_vraiment_flat_111.wav,male_vraiment_flat_22.wav
male_vraiment_flat_112.wav,male_vraiment_flat_23.wav
male_vraiment_flat_113.wav,male_vraiment_flat_24.wav
male_vraiment_flat_114.wav,male_vraiment_flat_25.wav
male_vraiment_flat_115.wav,male_vraiment_flat_26.wav
male_vraiment_flat_116.wav,male_vraiment_flat_27.wav
male_vraiment_flat_117.wav,male_vraiment_flat_28.wav
male_vraiment_flat_118.wav,male_vraiment_flat_29.wav
male_vraiment_flat_119.wav,male_vraiment_flat_3.wav
male_vraiment_flat_12.wav,male_vraiment_flat_30.wav
male_vraiment_flat_120.wav,male_vraiment_flat_31.wav
male_vraiment_flat_121.wav,male_vraiment_flat_32.wav
male_vraiment_flat_122.wav,male_vraiment_flat_33.wav
male_vraiment_flat_123.wav,male_vraiment_flat_34.wav
male_vraiment_flat_124.wav,male_vraiment_flat_35.wav
male_vraiment_flat_125.wav,male_vraiment_flat_36.wav
male_vraiment_flat_126.wav,male_vraiment_flat_37.wav
male_vraiment_flat_127.wav,male_vraiment_flat_38.wav
male_vraiment_flat_128.wav,male_vraiment_flat_39.wav
male_vraiment_flat_129.wav,male_vraiment_flat_4.wav
male_vraiment_flat_13.wav,male_vraiment_flat_40.wav
male_vraiment_flat_130.wav,male_vraiment_flat_41.wav
male_vraiment_flat_131.wav,male_vraiment_flat_42.wav
male_vraiment_flat_132.wav,male_vraiment_flat_43.wav
male_vraiment_flat_133.wav,male_vraiment_flat_44.wav
male_vraiment_flat_134.wav,male_vraiment_flat_45.wav
male_vraiment_flat_135.wav,male_vraiment_flat_46.wav
male_vraiment_flat_136.wav,male_vraiment_flat_47.wav
male_vraiment_flat_137.wav,male_vraiment_flat_48.wav
male_vraiment_flat_138.wav,male_vraiment_flat_49.wav
male_vraiment_flat_139.wav,male_vraiment_flat_5.wav
male_vraiment_flat_14.wav,male_vraiment_flat_50.wav
male_vraiment_flat_140.wav,male_vraiment_flat_51.wav
male_vraiment_flat_141.wav,male_vraiment_flat_52.wav
male_vraiment_flat_142.wav,male_vraiment_flat_53.wav
